date,"Rainfall, mm.",S.3,S.4B,S.42,S.14,"Inflow, cms"
01/04/13,0.0,1,0,0,0.04,30.21
02/04/13,0.0,1,0,0,0.04,40.39
03/04/13,0.0,1,0,0,0.04,40.86
04/04/13,0.0,1,0,0,0.06,40.63
05/04/13,0.0,1,0,0,0.09,40.16
06/04/13,0.0,0.95,0,0,0.09,40.86
07/04/13,0.0,0.95,0,0,0.1,40.51
08/04/13,0.0,0.95,0,0,0.1,40.28
09/04/13,0.0,0.95,0,0,0.1,40.05
10/04/13,0.0,0.95,0,0,0.07,40.97
11/04/13,0.0,0.95,0,0,0.08,40.63
12/04/13,7.1,0.95,0,0,1.24,40.39
13/04/13,0.0,0.95,0,0,0.12,55.67
14/04/13,4.9,0.95,0,0,0.06,55.90
15/04/13,0.0,0.95,0,0,0.09,55.21
16/04/13,2.8,0.95,0,0,0.03,25.12
17/04/13,4.1,0.95,0,0,0.04,25.93
18/04/13,0.0,0.95,0,0,0.06,25.93
19/04/13,0.0,0.95,0,0,0.07,25.69
20/04/13,0.0,0.95,0,0,0.07,36.00
21/04/13,4.2,0.95,0,0,0.08,35.53
22/04/13,11.1,0.95,0,0,0.08,35.19
23/04/13,0.9,0.95,0,0,0.08,35.88
24/04/13,0.1,0.95,0,0,0.08,25.23
25/04/13,6.5,0.95,0,0,0.08,25.00
26/04/13,3.6,0.95,0,0,0.08,26.04
27/04/13,0.0,0.95,0,0,0.1,25.81
28/04/13,0.0,0.95,0,0,0.09,25.69
29/04/13,0.0,0.95,0,0,0.09,15.74
30/04/13,0.0,0.95,0,0,0.1,15.63
01/05/13,0.0,0.95,0,0,0.1,15.51
02/05/13,0.0,0.95,0,0,0.09,15.39
03/05/13,7.7,0.95,0,0,0.09,15.28
04/05/13,29.1,0.95,0,0,0.09,31.02
05/05/13,37.8,0.95,0,0,5.65,30.56
06/05/13,0.0,0.95,0,0,40.84,30.32
07/05/13,9.6,0.95,0,0,0.97,30.32
08/05/13,0.0,0.95,0,0,10.2,30.21
09/05/13,1.4,0.95,0,0,2.92,30.21
10/05/13,0.7,0.95,0,0,0.24,30.32
11/05/13,0.0,0.95,0,0,0.24,30.09
12/05/13,1.1,0.95,0.08,0,0.22,30.79
13/05/13,0.0,0.95,0.08,0,0.22,30.67
14/05/13,3.3,0.95,0.03,0,0.22,30.21
15/05/13,0.0,0.95,0,0,0.22,30.90
16/05/13,4.4,0.95,0.03,0,0.2,30.44
17/05/13,0.0,0.95,0,0,0.2,50.93
18/05/13,0.4,0.95,0,0,0.16,60.88
19/05/13,1.3,0.95,0,0,0.14,60.88
20/05/13,2.3,0.95,0.33,0,0.12,60.76
21/05/13,0.0,0.95,0.6,0,0.12,60.53
22/05/13,2.8,0.95,0.5,0,0.16,60.07
23/05/13,0.2,1.65,0.65,0,0.18,60.30
24/05/13,0.3,11,0.75,0,0.14,59.95
25/05/13,0.5,5.55,0.7,0,3.72,60.53
26/05/13,1.2,8.2,0.8,0,0.54,60.65
27/05/13,0.0,2.1,0.9,0,0.18,60.07
28/05/13,0.0,4.05,0.65,0,0.16,30.67
29/05/13,4.6,3.83,0.45,0,0.12,30.21
30/05/13,2.2,1.8,0.6,0,0.12,30.56
31/05/13,0.2,1.73,0.65,0,0.12,30.21
01/06/13,0.0,17,0.15,0,0.1,30.09
02/06/13,0.1,2.1,0.15,0,0.1,30.90
03/06/13,1.1,1.2,0.05,0,0.14,30.90
04/06/13,16.8,3.9,0.1,0,0.18,30.21
05/06/13,22.8,3.67,1.55,0,0.16,30.56
06/06/13,1.1,18.13,3.6,0,0.94,29.98
07/06/13,0.0,17.37,15.75,0,1.69,29.98
08/06/13,1.9,13.63,13.5,0,0.44,29.98
09/06/13,0.0,10,8.4,0,0.14,30.09
10/06/13,9.4,3.67,5.65,0,0.09,30.09
11/06/13,12.7,1.95,4.6,0,3.36,29.98
12/06/13,4.0,1.45,2.5,0,6.2,20.37
13/06/13,12.3,1.25,2.85,0,2.8,10.65
14/06/13,0.0,1.45,4.53,0,0.12,10.65
15/06/13,0.0,1.15,4.98,0,0.12,10.65
16/06/13,0.0,1.15,3.85,0,0.14,10.65
17/06/13,0.0,1.05,2.7,0,0.2,10.65
18/06/13,0.0,1.05,1.8,0,0.44,10.65
19/06/13,15.5,1.95,1.7,0,0.44,10.65
20/06/13,3.5,1.15,2,0,0.08,10.65
21/06/13,0.4,1.15,1.8,0,0.07,10.65
22/06/13,1.7,1.3,1.8,0,0.08,10.65
23/06/13,3.1,1.57,1.7,0,0.09,10.65
24/06/13,8.2,1.87,1.35,0,0.09,10.65
25/06/13,4.8,1.73,1.45,0,0.18,10.65
26/06/13,4.7,2.32,1.25,0,1.9,10.65
27/06/13,1.6,1.35,1.4,0,0.26,10.65
28/06/13,4.8,1.25,1.35,0,0.3,10.65
29/06/13,0.0,1.15,1.4,0,0.24,10.65
30/06/13,0.1,1.15,1.25,0,0.24,10.65
01/07/13,0.0,1.87,1.4,0,0.24,10.65
02/07/13,0.6,1.57,1.35,0,0.24,10.65
03/07/13,3.2,1.3,1.2,0,0.22,10.65
04/07/13,0.1,1.3,0.5,0,0.22,10.65
05/07/13,0.2,12.5,0.5,0,0.2,10.65
06/07/13,15.8,8.4,0.48,0,0.2,10.65
07/07/13,4.2,5.62,0.43,0,0.2,10.65
08/07/13,1.7,14.12,0.4,0,0.22,10.65
09/07/13,13.0,35.4,5.28,0,0.24,10.65
10/07/13,1.8,25.5,29.95,0,0.24,10.65
11/07/13,2.1,33.15,32.75,0,0.24,10.53
12/07/13,0.0,21.5,32.75,0,0.24,10.53
13/07/13,0.0,18.75,31.15,0,0.22,10.53
14/07/13,0.1,12.25,24,0,0.2,10.53
15/07/13,0.0,8.3,10.25,0,0.2,10.53
16/07/13,0.0,12.5,6.18,0,0.2,10.53
17/07/13,0.4,5.7,5.58,0,0.2,10.53
18/07/13,0.0,17.37,4.98,0,0.18,10.53
19/07/13,5.6,6.1,4.75,0,0.18,10.53
20/07/13,11.1,5.55,4.68,0,0.18,10.53
21/07/13,0.0,2.7,4.53,0,0.24,10.53
22/07/13,5.4,1.65,4.08,0,0.32,10.53
23/07/13,13.1,1.3,3.85,0,0.28,10.53
24/07/13,6.6,11.9,4.38,0,0.68,10.42
25/07/13,2.8,29.4,4.53,0,2.08,10.42
26/07/13,1.3,21.63,26.35,0,0.26,10.42
27/07/13,1.8,15.75,19.45,0,0.22,10.42
28/07/13,18.7,10.6,9.7,0,0.2,10.42
29/07/13,1.6,23.5,9.3,0,0.26,10.42
30/07/13,4.5,52.57,25.95,15.7,0.28,10.42
31/07/13,9.2,50.3,37.55,52.1,0.24,10.42
01/08/13,21.1,33.6,32.75,53.6,0.3,10.42
02/08/13,1.3,23.87,35.35,59.3,12.2,10.42
03/08/13,6.4,26.25,28.15,63.8,3.84,10.42
04/08/13,0.8,19.25,30.95,65.6,6.15,10.65
05/08/13,0.5,15.25,15.45,62,7.22,10.65
06/08/13,8.1,12.88,10.13,56.9,2.52,11.00
07/08/13,18.7,15.62,7.1,51.5,0.2,10.07
08/08/13,8.0,19.75,13.8,45.88,10.68,10.07
09/08/13,8.1,16.38,23.65,41.5,1.72,10.65
10/08/13,4.4,28.65,21.9,41.5,1.54,10.19
11/08/13,1.6,30.15,36.88,48.35,13.95,10.30
12/08/13,2.0,40.67,45.2,53.3,1.9,10.42
13/08/13,1.3,22.12,54.23,56.9,0.24,10.76
14/08/13,4.6,18.63,41.15,62.6,37.76,11.00
15/08/13,0.5,15.62,26.95,67.7,18.22,10.07
16/08/13,5.4,14.87,22.6,66.8,4.92,11.00
17/08/13,0.0,15,17.25,64.4,1.48,10.19
18/08/13,0.0,13.12,15,61.7,0.36,10.53
19/08/13,0.0,9.8,12.3,48.9,0.26,10.88
20/08/13,0.3,6.3,7.6,41.25,0.16,10.65
21/08/13,4.7,5.4,7.5,34,0.16,15.39
22/08/13,29.1,4.95,7.8,27.9,0.14,15.51
23/08/13,2.7,34.35,7.8,17.5,0.14,10.07
24/08/13,2.7,112.25,33.35,13.2,0.18,10.19
25/08/13,2.2,47.85,77.25,14.5,0.18,10.19
26/08/13,1.8,28.05,82.88,26.5,0.16,10.07
27/08/13,0.1,25.75,49.75,44,0.12,10.07
28/08/13,13.9,21.12,36.2,55.1,0.14,10.19
29/08/13,6.9,31.65,30.15,64.4,0.12,10.30
30/08/13,49.9,24.13,39.13,65.9,0.14,10.42
31/08/13,1.1,33.45,32.95,56.9,31.24,10.88
01/09/13,7.3,97.7,52.58,48.08,34,10.30
02/09/13,0.0,38.4,82.88,50.3,14.49,10.65
03/09/13,2.2,25.25,64.85,50,2.24,10.88
04/09/13,0.1,24.13,34.95,51.5,0.3,11.00
05/09/13,6.3,21.75,31.35,59.3,0.34,10.19
06/09/13,11.5,19.88,23.83,64.7,0.26,10.30
07/09/13,1.3,31.65,22.78,55.7,0.24,10.42
08/09/13,4.9,46.27,44.98,43.5,0.26,10.53
09/09/13,0.1,39.15,63.95,42.5,0.42,10.65
10/09/13,26.7,35.1,61.65,52.7,1.12,10.76
11/09/13,24.1,21.12,58.08,66.2,31.4,10.88
12/09/13,4.4,20.63,49.03,80.8,69.8,6.94
13/09/13,10.8,39,42.05,82.55,25.96,7.52
14/09/13,32.5,45.93,63.95,87.45,12.44,7.64
15/09/13,11.0,68.52,77.6,95.5,32.04,7.75
16/09/13,5.7,121.5,93.2,110.4,18,7.87
17/09/13,12.4,76.7,107.45,115.6,0.58,7.52
18/09/13,2.8,47.67,121,119.6,11.08,7.52
19/09/13,53.3,41.9,130.95,120.8,29.48,7.64
